frame_id,pts_ns,metadata_lost,kind,x,y,width,height,initialized,confidence,class_id
56,2800000000,False,nanotrack,287,192,38,37,0,0.999995,
57,2850000000,False,nanotrack,286,190,38,37,0,0.999998,
58,2900000000,False,nanotrack,286,190,38,36,0,0.999997,
59,2950000000,False,nanotrack,285,190,38,35,0,0.999998,
60,3000000000,False,nanotrack,285,187,37,35,0,0.999997,
61,3050000000,False,nanotrack,284,185,36,37,0,0.999999,
62,3100000000,False,nanotrack,285,183,36,36,0,0.999996,
63,3150000000,False,nanotrack,285,182,35,37,0,0.999998,
64,3200000000,False,nanotrack,283,181,35,38,0,0.999998,
65,3250000000,False,nanotrack,283,181,34,37,0,0.999997,
66,3300000000,False,nanotrack,281,182,35,36,0,0.999997,
67,3350000000,False,nanotrack,282,182,34,35,0,0.999995,
68,3400000000,False,nanotrack,281,181,35,34,0,0.999996,
69,3450000000,False,nanotrack,281,182,34,34,0,0.999996,
70,3500000000,False,nanotrack,281,182,34,33,0,0.999995,
71,3550000000,False,nanotrack,281,181,33,34,0,0.999993,
72,3600000000,False,nanotrack,282,181,32,33,0,0.999997,
73,3650000000,False,nanotrack,283,181,32,33,0,0.999994,
74,3700000000,False,nanotrack,284,178,32,33,0,0.999994,
75,3750000000,False,nanotrack,284,177,31,34,0,0.999995,
76,3800000000,False,nanotrack,284,178,31,34,0,0.999997,
77,3850000000,False,nanotrack,284,178,31,34,0,0.999995,
78,3900000000,False,nanotrack,284,178,32,32,0,0.999997,
79,3950000000,False,nanotrack,284,179,33,32,0,0.999995,
80,4000000000,False,nanotrack,287,179,32,31,0,0.99999,
81,4050000000,False,nanotrack,291,179,32,30,0,0.999987,
82,4100000000,False,nanotrack,294,179,31,31,0,0.999992,
83,4150000000,False,nanotrack,296,178,31,31,0,0.999992,
84,4200000000,False,nanotrack,299,176,30,31,0,0.999993,
85,4250000000,False,nanotrack,299,176,30,31,0,0.99999,
86,4300000000,False,nanotrack,299,174,30,32,0,0.999992,
87,4350000000,False,nanotrack,299,176,29,32,0,0.999994,
88,4400000000,False,nanotrack,298,176,30,31,0,0.999995,
89,4450000000,False,nanotrack,298,177,30,30,0,0.999996,
90,4500000000,False,nanotrack,297,178,31,29,0,0.999996,
91,4550000000,False,nanotrack,297,178,31,29,0,0.999994,
92,4600000000,False,nanotrack,297,179,31,28,0,0.999992,
93,4650000000,False,nanotrack,298,179,30,29,0,0.999995,
94,4700000000,False,nanotrack,298,178,30,29,0,0.999991,
95,4750000000,False,nanotrack,297,177,29,30,0,0.999995,
96,4800000000,False,nanotrack,297,176,29,30,0,0.99999,
97,4850000000,False,nanotrack,297,176,29,31,0,0.999993,
98,4900000000,False,nanotrack,297,178,28,30,0,0.999994,
99,4950000000,False,nanotrack,296,178,29,30,0,0.999993,
100,5000000000,False,nanotrack,297,179,28,30,0,0.999995,
101,5050000000,False,nanotrack,296,180,29,29,0,0.999994,
102,5100000000,False,nanotrack,296,180,29,29,0,0.999992,
103,5150000000,False,nanotrack,295,182,29,28,0,0.999994,
104,5200000000,False,nanotrack,296,182,29,28,0,0.999992,
105,5250000000,False,nanotrack,296,182,28,29,0,0.999993,
106,5300000000,False,nanotrack,296,181,28,29,0,0.999995,
107,5350000000,False,nanotrack,296,181,27,29,0,0.999986,
108,5400000000,False,nanotrack,296,180,27,30,0,0.99999,
109,5450000000,False,nanotrack,296,182,27,30,0,0.999993,
110,5500000000,False,nanotrack,295,183,28,29,0,0.999994,
111,5550000000,False,nanotrack,294,184,28,29,0,0.999991,
112,5600000000,False,nanotrack,294,184,28,28,0,0.999992,
113,5650000000,False,nanotrack,293,186,28,27,0,0.999993,
114,5700000000,False,nanotrack,294,186,27,28,0,0.999988,
115,5750000000,False,nanotrack,294,186,27,28,0,0.999993,
116,5800000000,False,nanotrack,294,188,27,28,0,0.999993,
117,5850000000,False,nanotrack,295,187,26,28,0,0.999991,
118,5900000000,False,nanotrack,294,185,27,29,0,0.999987,
119,5950000000,False,nanotrack,294,184,26,30,0,0.999993,
120,6000000000,False,nanotrack,293,185,26,30,0,0.999997,
121,6050000000,False,nanotrack,293,187,26,29,0,0.999994,
122,6100000000,False,nanotrack,293,187,26,29,0,0.999993,
123,6150000000,False,nanotrack,293,189,26,29,0,0.99999,
124,6200000000,False,nanotrack,292,190,27,28,0,0.999991,
125,6250000000,False,nanotrack,292,191,26,28,0,0.999993,
126,6300000000,False,nanotrack,293,192,26,27,0,0.99999,
127,6350000000,False,nanotrack,297,192,25,27,0,0.999995,
128,6400000000,False,nanotrack,302,192,26,27,0,0.999637,
129,6450000000,False,nanotrack,313,190,26,27,0,0.999986,
130,6500000000,False,nanotrack,319,191,26,28,0,0.999813,
131,6550000000,False,nanotrack,323,190,26,28,0,0.99999,
132,6600000000,False,nanotrack,325,192,26,28,0,0.999992,
133,6650000000,False,nanotrack,325,193,26,27,0,0.999992,
134,6700000000,False,nanotrack,324,194,26,27,0,0.999992,
135,6750000000,False,nanotrack,325,193,26,26,0,0.999992,
136,6800000000,False,nanotrack,325,195,25,26,0,0.999996,
137,6850000000,False,nanotrack,325,194,25,26,0,0.999995,
138,6900000000,False,nanotrack,326,195,25,26,0,0.999994,
139,6950000000,False,nanotrack,326,194,24,26,0,0.999995,
140,7000000000,False,nanotrack,327,194,24,26,0,0.999992,
141,7050000000,False,nanotrack,327,195,23,26,0,0.999992,
142,7100000000,False,nanotrack,326,195,24,26,0,0.999994,
143,7150000000,False,nanotrack,325,194,24,26,0,0.999985,
144,7200000000,False,nanotrack,325,196,24,25,0,0.999992,
145,7250000000,False,nanotrack,324,197,25,25,0,0.999988,
146,7300000000,False,nanotrack,324,198,24,25,0,0.999979,
147,7350000000,False,nanotrack,324,197,25,25,0,0.999974,
148,7400000000,False,nanotrack,324,198,24,24,0,0.999981,
149,7450000000,False,nanotrack,324,197,24,25,0,0.999987,
150,7500000000,False,nanotrack,325,197,24,25,0,0.99998,
151,7550000000,False,nanotrack,326,197,23,26,0,0.999983,
152,7600000000,False,nanotrack,326,197,23,26,0,0.99998,
153,7650000000,False,nanotrack,325,196,23,26,0,0.999988,
154,7700000000,False,nanotrack,325,196,23,26,0,0.999986,
155,7750000000,False,nanotrack,325,198,24,26,0,0.999981,
156,7800000000,False,nanotrack,325,197,23,26,0,0.999981,
157,7850000000,False,nanotrack,324,199,24,25,0,0.999992,
158,7900000000,False,nanotrack,324,198,24,25,0,0.999983,
159,7950000000,False,nanotrack,324,200,24,24,0,0.99998,
160,8000000000,False,nanotrack,324,200,23,24,0,0.999959,
161,8050000000,False,nanotrack,325,201,23,24,0,0.999953,
162,8100000000,False,nanotrack,324,198,23,24,0,0.999981,
163,8150000000,False,nanotrack,325,198,22,25,0,0.999983,
164,8200000000,False,nanotrack,324,198,22,25,0,0.999986,
165,8250000000,False,nanotrack,324,199,23,25,0,0.999968,
166,8300000000,False,nanotrack,324,201,23,24,0,0.999977,
167,8350000000,False,nanotrack,324,200,22,23,0,0.999988,
168,8400000000,False,nanotrack,323,201,23,24,0,0.99998,
169,8450000000,False,nanotrack,323,200,23,24,0,0.999964,
170,8500000000,False,nanotrack,322,202,23,23,0,0.999979,
171,8550000000,False,nanotrack,324,201,22,23,0,0.999939,
172,8600000000,False,nanotrack,323,202,22,23,0,0.999959,
173,8650000000,False,nanotrack,324,201,22,24,0,0.999909,
174,8700000000,False,nanotrack,324,200,21,24,0,0.999909,
175,8750000000,False,nanotrack,324,201,22,24,0,0.999939,
176,8800000000,False,nanotrack,324,201,21,24,0,0.999756,
177,8850000000,False,nanotrack,323,202,22,24,0,0.999836,
178,8900000000,False,nanotrack,323,203,22,23,0,0.999637,
179,8950000000,False,nanotrack,322,203,23,23,0,0.999661,
180,9000000000,False,nanotrack,322,203,22,23,0,0.999613,
181,9050000000,False,nanotrack,323,204,23,22,0,0.9998,
182,9100000000,False,nanotrack,323,204,21,22,0,0.999939,
183,9150000000,False,nanotrack,323,203,21,23,0,0.9998,
184,9200000000,False,nanotrack,324,205,21,22,0,0.999703,
185,9250000000,False,nanotrack,324,203,20,23,0,0.999703,
186,9300000000,False,nanotrack,324,203,20,23,0,0.999739,
187,9350000000,False,nanotrack,323,203,20,23,0,0.99993,
188,9400000000,False,nanotrack,323,203,20,24,0,0.99993,
189,9450000000,False,nanotrack,322,204,21,23,0,0.999939,
190,9500000000,False,nanotrack,323,205,20,22,0,0.99992,
191,9550000000,False,nanotrack,321,206,21,22,0,0.999943,
192,9600000000,False,nanotrack,322,205,20,22,0,0.999865,
193,9650000000,False,nanotrack,322,206,20,21,0,0.999874,
194,9700000000,False,nanotrack,323,207,20,21,0,0.999946,
195,9750000000,False,nanotrack,322,206,19,21,0,0.99993,
196,9800000000,False,nanotrack,323,207,19,21,0,0.999909,
